model_name,split_name,calibrated,score_name,coverage_target,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std
bert,hans,True,max_softmax,0.7,0.6760317460317461,0.030956275701237154,0.5257718229206568,0.05494173699272206
compact,hans,True,max_softmax,0.7,0.4923492063492063,0.00520015116938241,0.48204016946195066,0.015227186179856926
bert,hans,True,max_softmax,0.8,0.6393888888888889,0.027505060561312748,0.5057271921995462,0.04642191720999101
compact,hans,True,max_softmax,0.8,0.49322222222222223,0.004622997564511756,0.4836891841024809,0.013833603470616192
bert,hans,True,max_softmax,0.9,0.6065555555555556,0.023888486933167266,0.4959260554218889,0.03943500799210066
compact,hans,True,max_softmax,0.9,0.493641975308642,0.004733259915580461,0.48540069152343096,0.010952640721222172
bert,hans,True,max_softmax,0.95,0.5958947368421053,0.02265800171134356,0.500503577766317,0.03665267073210987
compact,hans,True,max_softmax,0.95,0.49374269005847954,0.0042781604958048326,0.48615311965190017,0.009940029719812914
bert,mnli_matched,True,max_softmax,0.7,0.8390336195604715,0.009738085843877238,0.8326219096468703,0.00923473603742389
compact,mnli_matched,True,max_softmax,0.7,0.46363945083199926,0.016640125912749458,0.4594203660877836,0.02072863041955116
bert,mnli_matched,True,max_softmax,0.8,0.8105790456783835,0.010227679754001007,0.8059704842445053,0.009754768349630079
compact,mnli_matched,True,max_softmax,0.8,0.45584988962472406,0.01592732021059613,0.4518499914324156,0.019331444897018716
bert,mnli_matched,True,max_softmax,0.9,0.7785072824692477,0.0076961448939954855,0.7753754140065995,0.007373769201204979
compact,mnli_matched,True,max_softmax,0.9,0.4481171232359822,0.01509640747757411,0.4445912126412493,0.018014935511258143
bert,mnli_matched,True,max_softmax,0.95,0.7623592493297586,0.006359710457129322,0.7598252908762807,0.006093170426526851
compact,mnli_matched,True,max_softmax,0.95,0.4439678284182305,0.013827959787279397,0.4406091683930609,0.016541101315462683
bert,mnli_mismatched,True,max_softmax,0.7,0.8358274008426557,0.0069205319563065675,0.8261404093827718,0.007104724817886305
compact,mnli_mismatched,True,max_softmax,0.7,0.4716451159862463,0.02193778766211607,0.46695801129756576,0.028256478744847307
bert,mnli_mismatched,True,max_softmax,0.8,0.8055767437918467,0.008794317794796698,0.7983995499086035,0.009075792344914822
compact,mnli_mismatched,True,max_softmax,0.8,0.4634714806339521,0.019230749546407324,0.45945916798236636,0.025026052248274554
bert,mnli_mismatched,True,max_softmax,0.9,0.7747391418992731,0.011498069477717813,0.7697051354064488,0.012041586379277918
compact,mnli_mismatched,True,max_softmax,0.9,0.4557577127359023,0.01654425772538794,0.4523325648824211,0.021489368113726405
bert,mnli_mismatched,True,max_softmax,0.95,0.7591264318595439,0.012148257134124728,0.7550712239261778,0.012549199384437612
compact,mnli_mismatched,True,max_softmax,0.95,0.4515219641009171,0.016565977663555043,0.4485493760118782,0.021049545142256293
bert,snli_test,True,max_softmax,0.7,0.9700450777955504,0.001308710193398288,0.9687227176080605,0.0014284585502063716
compact,snli_test,True,max_softmax,0.7,0.8426154815568805,0.00703761209038212,0.8394447971353051,0.006527253628978422
bert,snli_test,True,max_softmax,0.8,0.9610262934690416,0.0019475763364215296,0.9598954958432145,0.0018733468096865133
compact,snli_test,True,max_softmax,0.8,0.8144614079728584,0.008659191721062652,0.8118584062146237,0.008605860730542137
bert,snli_test,True,max_softmax,0.9,0.9421322476061222,0.002400029260709775,0.9413434485360949,0.002348262751003824
compact,snli_test,True,max_softmax,0.9,0.7851918872050064,0.009960421610333416,0.7833095249226139,0.009687187525101577
bert,snli_test,True,max_softmax,0.95,0.9255687703132255,0.0027303139188708347,0.9249873554727821,0.002683924111700393
compact,snli_test,True,max_softmax,0.95,0.7700275009821779,0.008281775607010091,0.768406193125148,0.008149725552947325
