model_name,split_name,calibrated,score_name,coverage_target,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std
bert,hans,False,entropy,0.7,0.6742698412698412,0.03096206197808855,0.5194102585546803,0.05569878965146622
bert,hans,False,entropy,0.8,0.6372916666666667,0.027702505652818555,0.4998323533166768,0.04724814204753344
bert,hans,False,entropy,0.9,0.6043950617283951,0.02371531351484636,0.49102792566611225,0.039811500412073014
bert,hans,False,entropy,0.95,0.5932865497076023,0.022817415533450396,0.49522420956326263,0.0373651442473523
bert,hans,False,margin,0.7,0.6742698412698412,0.03096206197808855,0.5194102585546803,0.05569878965146622
bert,hans,False,margin,0.8,0.6372916666666667,0.027702505652818555,0.4998323533166768,0.04724814204753344
bert,hans,False,margin,0.9,0.6043950617283951,0.02371531351484636,0.49102792566611225,0.039811500412073014
bert,hans,False,margin,0.95,0.5932865497076023,0.022817415533450396,0.49522420956326263,0.0373651442473523
bert,hans,False,max_softmax,0.7,0.6742698412698412,0.03096206197808855,0.5194102585546803,0.05569878965146622
bert,hans,False,max_softmax,0.8,0.6372916666666667,0.027702505652818555,0.4998323533166768,0.04724814204753344
bert,hans,False,max_softmax,0.9,0.6043950617283951,0.02371531351484636,0.49102792566611225,0.039811500412073014
bert,hans,False,max_softmax,0.95,0.5932865497076023,0.022817415533450396,0.49522420956326263,0.0373651442473523
bert,hans,True,entropy,0.7,0.6760317460317461,0.030956275701237154,0.5257718229206568,0.05494173699272206
bert,hans,True,entropy,0.8,0.6393888888888889,0.027505060561312748,0.5057271921995462,0.04642191720999101
bert,hans,True,entropy,0.9,0.6065555555555556,0.023888486933167266,0.4959260554218889,0.03943500799210066
bert,hans,True,entropy,0.95,0.5958947368421053,0.02265800171134356,0.500503577766317,0.03665267073210987
bert,hans,True,margin,0.7,0.6760317460317461,0.030956275701237154,0.5257718229206568,0.05494173699272206
bert,hans,True,margin,0.8,0.6393888888888889,0.027505060561312748,0.5057271921995462,0.04642191720999101
bert,hans,True,margin,0.9,0.6065555555555556,0.023888486933167266,0.4959260554218889,0.03943500799210066
bert,hans,True,margin,0.95,0.5958947368421053,0.02265800171134356,0.500503577766317,0.03665267073210987
bert,hans,True,max_softmax,0.7,0.6760317460317461,0.030956275701237154,0.5257718229206568,0.05494173699272206
bert,hans,True,max_softmax,0.8,0.6393888888888889,0.027505060561312748,0.5057271921995462,0.04642191720999101
bert,hans,True,max_softmax,0.9,0.6065555555555556,0.023888486933167266,0.4959260554218889,0.03943500799210066
bert,hans,True,max_softmax,0.95,0.5958947368421053,0.02265800171134356,0.500503577766317,0.03665267073210987
bert,mnli_matched,False,entropy,0.7,0.8393732110803862,0.008280827940950633,0.832954253459409,0.0075224151085584185
bert,mnli_matched,False,entropy,0.8,0.8097300050942434,0.011000647006282161,0.8050141724336818,0.010585999184287629
bert,mnli_matched,False,entropy,0.9,0.7782431514602671,0.007558947713287963,0.7753155905965098,0.007169385365754313
bert,mnli_matched,False,entropy,0.95,0.7620732797140303,0.006068542915228406,0.7596593543929585,0.005815230796194865
bert,mnli_matched,False,margin,0.7,0.8391791587832921,0.010491954773813756,0.832815356404319,0.009985237675183181
bert,mnli_matched,False,margin,0.8,0.8091781287145525,0.009161084952471137,0.8045967699108677,0.008763277019290985
bert,mnli_matched,False,margin,0.9,0.7769602294166478,0.008693015281340708,0.7736729997738016,0.00831981459723559
bert,mnli_matched,False,margin,0.95,0.7608936550491511,0.00754515874040973,0.7581915346626581,0.00731800016835832
bert,mnli_matched,False,max_softmax,0.7,0.8389365934119245,0.010169363349611849,0.8325226062250848,0.009663079667610538
bert,mnli_matched,False,max_softmax,0.8,0.8095601969774155,0.009559627665934009,0.8049362589800317,0.009009799847313121
bert,mnli_matched,False,max_softmax,0.9,0.7784695494679648,0.007882585627599586,0.7753014498065998,0.007597114824709616
bert,mnli_matched,False,max_softmax,0.95,0.7622162645218946,0.00608273909459327,0.7596170651116845,0.005856055520846928
bert,mnli_matched,True,entropy,0.7,0.8385484888177364,0.008964948354778637,0.8319506741918349,0.008156711368245563
bert,mnli_matched,True,entropy,0.8,0.8100696213278994,0.01039754110018775,0.8054403096746673,0.010108427701376264
bert,mnli_matched,True,entropy,0.9,0.7777148894423062,0.007980596673542098,0.7748321675917493,0.007613688207442814
bert,mnli_matched,True,entropy,0.95,0.7621805183199285,0.005791215692391928,0.7597793210765057,0.005554823036479866
bert,mnli_matched,True,margin,0.7,0.8392761849318391,0.010469049490147504,0.832894964342667,0.009900853229274734
bert,mnli_matched,True,margin,0.8,0.8093903888605875,0.00924743184163569,0.804812249347889,0.008849280415318642
bert,mnli_matched,True,margin,0.9,0.776847030412799,0.008496211794730753,0.773565249692712,0.008114238157405109
bert,mnli_matched,True,margin,0.95,0.7608221626452188,0.007583925531433219,0.7581090993124137,0.007358686873857896
bert,mnli_matched,True,max_softmax,0.7,0.8390336195604715,0.009738085843877238,0.8326219096468703,0.00923473603742389
bert,mnli_matched,True,max_softmax,0.8,0.8105790456783835,0.010227679754001007,0.8059704842445053,0.009754768349630079
bert,mnli_matched,True,max_softmax,0.9,0.7785072824692477,0.0076961448939954855,0.7753754140065995,0.007373769201204979
bert,mnli_matched,True,max_softmax,0.95,0.7623592493297586,0.006359710457129322,0.7598252908762807,0.006093170426526851
bert,mnli_mismatched,False,entropy,0.7,0.8369412562351689,0.00703447858397989,0.8272022790769159,0.007028307969033877
bert,mnli_mismatched,False,entropy,0.8,0.8060852614628358,0.010066798419962764,0.7988644326540345,0.010446065823158771
bert,mnli_mismatched,False,entropy,0.9,0.7751911703770671,0.012296677111112254,0.7706134070758872,0.012805412532830157
bert,mnli_mismatched,False,entropy,0.95,0.7596260214823537,0.012249409542029284,0.7557977987621106,0.01279741125283285
bert,mnli_mismatched,False,margin,0.7,0.835100973412756,0.007822513802685933,0.8257883886593912,0.00831036609148214
